name,appearances_in_episodes
Rick Sanchez,54
Morty Smith,54
Beth Smith,52
Summer Smith,51
Jerry Smith,47
Jessica,15
Mr. Goldenfold,14
Principal Vagina,9
Tammy Guetermann,8
Jessica's Friend,8
Birdperson,8
Snuffles (Snowball),8
Mr. Poopybutthole,7
Nancy,6
President Curtis,5
Arcade Alien,5
Cirque du Soleil Zumanity Member,5
Cenobite,5
Tricia Lange,5
Mr. Meeseeks,5
Traflorkian,5
Cynthia,5
Phoenixperson,4
Mrs. Sanchez,4
Bepisian,4
Revolio Clockberg Jr.,4
Greebybobe,4
Evil Morty,4
Davin,4
Scrotian,4
Brad,4
SEAL Team Rick,4
Zeta Alpha Rick,4
Trunkphobic suspenders guy,4
Pripudlian,4
Aqua Rick,3
Ethan,3
Cyclops Rick,3
Fulgora,3
Garblovian,3
Gotron Pilot,3
Morphizer-XE Customer Support,3
MC Haps,3
Steve,3
Shimshamian,3
Larva Alien,3
Benjamin,3
Crystal Dealer,3
Gar Gloonch,3
Squanchy,3
Tophat Jones,3
Maximums Rickimus,3
Abradolf Lincler,3
Crystal Poacher,3
Attila Starwar,3
Arbolian Mentirososian,3
Quantum Rick,3
Riq IV,3
Loggins,3
Stair Goblin,3
Flansian,3
Ricktiminus Sancheziminius,3
Young Jerry,2
Unknown Rick,2
Naruto Smith,2
Black Rick,2
Rich Plutonian,2
Glenn,2
Jacob,2
Solicitor Rick,2
New Improved Galactic Federation Guard,2
Trunk Man,2
Hammerhead Morty,2
Doofus Rick,2
Cyclops Morty,2
Changeformer,2
Chair-person,2
Father Bob,2
Young Beth,2
Space Cruiser,2
Boobloosian,2
Bill,2
Two Crows,2
Dr. Wong,2
Hamster In Butt,2
Rick Prime,2
Cronenberg Rick,2
President's General,2
Giant Testicle Monster,2
Artist Morty,2
High Pilot,2
Phone-person,2
Cowboy Rick,2
Plane Crash Survivor,2
Bearded Morty,2
Chris,2
Zarbadar Gloonch,2
Council of Glorzos Member,2
Mr. Marklovitz,2
Defiance Beth,2
Gazorpazorpfield,2
Gene,2
Mrs. Pancakes,2
Scropon,2
Shleemypants,2
Slippery Stair,2
Voiceoverian,2
Lil B,2
Cronenberg Morty,2
Alien Crow,2
Pizza-person,2
Memory Rick,2
Michael,2
Anchosnake,2
Antenna Morty,2
Piece of Toast,2
Beth Sanchez,2
Sarge,2
Aqua Morty,2
Diane Sanchez,2
Canklanker Thom,1
Gibble Snake,1
Teacher Rick,1
Uncle Nibbles,1
Samansky,1
Plutonian Hostess,1
Double Microwawe,1
Young Memory Rick,1
Three Unknown Things,1
Miles Knightly,1
Phantom of the Opera Fan,1
Frank Palicky,1
Glockenspiel Beth,1
Too Cute to Murder Jerry,1
Voltematron,1
Evil Summer Clone,1
Jim,1
Gar's Mytholog,1
Lady Katana,1
Jaguar,1
Fascist Morty,1
Bootleg Portal Chemist Rick,1
Ruben,1
Dr. Eleanor Arroway,1
Japheth's Youngest Son,1
Hookah Alien,1
Scarecrow Jerry,1
Water Tina-Teer,1
Cookies Guy,1
Risotto's Tentacled Henchman,1
Izzy,1
Secret Service Rick,1
Spaceman,1
Bubonic Plague,1
Magnesium-J,1
Redhead Rick,1
Turkey President Curtis,1
Randotron,1
Truckula,1
Blue Footprint Guy,1
P-Coat Rick,1
Tickets Please Guy,1
Gonorrhea,1
Antenna Rick,1
Mitch,1
Hemorrhage,1
Party Rick,1
Robot Rick,1
Bar Customer,1
Wedding Bartender,1
Scary Teacher,1
Coop,1
Baby Mouse Skin Morty,1
Mrs. Refrigerator,1
Squeeb,1
Fascist Mr. President,1
Rick D-99,1
Scary Brandon,1
Caterpillar Mr. Goldenfold’s Larvae,1
Balthromaw,1
Big Boobed Waitress,1
Mechanical Summer,1
Little Dipper,1
Debrah’s Partner,1
Memory Squanchy,1
Alien Googah,1
Mr. Nimbus,1
Photography Raptor,1
Johnny Depp,1
Colossus,1
Borpocian,1
Too Cute to Murder Morty,1
Baby Rick,1
Glar,1
Shnoopy Bloopers,1
Ticktock,1
Jerry 5-126,1
Native Alien,1
Baby Legs,1
Nick,1
Yo-yo Rick,1
Tony Galopagus,1
Evil Jerry Clone,1
Tinkles,1
Pibbles Bodyguard,1
Karen Entity,1
Mr. Always Wants to be Hunted,1
Ron Benson,1
Katarina,1
Foal Sanchez,1
Wicker Beth,1
Chachi,1
Gotron,1
Squid Costume Rick,1
Debrah,1
Pink Polo Shirt Jerry,1
The President of the Miniverse,1
Yellow Shirt Rick,1
Lawyer Morty,1
Mike Johnson,1
Giant Cat Monster,1
Phillip Jacobs,1
Steven Phillips,1
Monogatron Leader,1
Gramuflackian General,1
Plumber Rick,1
Slaveowner,1
Bully,1
Colonial Rick,1
Coat Rack Head,1
Trandor,1
Anchorwoman,1
The Concept of Time,1
Alyson Hannigan,1
Shrek The Musical Fan,1
Eric McMan,1
Fascist Shrimp Rick’s Clone,1
Mr. Booby Buyer,1
Too Cute to Murder Beth,1
Fido,1
Zeep Xanflorp,1
Bearded Lady,1
King Jellybean,1
Tusked Assassin,1
Cool Rick,1
Morty K-22,1
Adam's Mother,1
General Nathan,1
Slippy,1
Slartivartian,1
King Flippy Nips,1
Invisi-trooper,1
Kozbian,1
Wasp Jerry,1
Mortytown Loco,1
Professor Sanchez,1
Pichael Thompson,1
Scarecrow Beth,1
Mousetrap Nipples,1
Blim Blam,1
Wasp Rick’s Clone,1
Varrix,1
Long Hair Rick,1
Sonia Sotomayor,1
Evolved Narnian Disguised as Morty,1
Eddie,1
Super Turkey,1
Josiah,1
Pet Shop Employee,1
Gun Brain Rick,1
Hairspray Fan,1
Mrs. Sullivan,1
Vance Maximus,1
Eli's Girlfriend,1
Real Fake Doors Salesman,1
Commander Rick,1
Reverse Rick Outrage,1
Tortured Morty,1
Princess Ponietta,1
Michael Denny and the Denny Singers,1
Baby Legs Chief,1
Trunkphobic guy,1
Amy Poopybutthole,1
Frankenstein's Monster,1
Martínez,1
Punk Rick,1
Uncle Steve,1
Terry,1
Little Voltron,1
Long Sleeved Morty,1
Planetina Buyer,1
Celebrity Jerry,1
Warlock,1
Hamurai,1
Fleeb,1
SWAT Officer,1
Wasp Rick,1
Snake Soldier,1
Too Cute to Murder Rick,1
Female Scorpion,1
Mechanical Rick,1
Ramamama Lord,1
Mr. Celery & Friends,1
Synthetic Laser Eels,1
Vampire Master,1
Reggie,1
Harold,1
Key Catcher,1
Netflix Executive,1
Campaign Manager Morty,1
Rat Boss,1
Glootie,1
Pawnshop Clerk,1
David Letterman,1
Donna Gueterman,1
Crow Horse,1
Judge,1
Big Morty,1
Mrs. Lipkip,1
Chair-waiter,1
Mothership Intern,1
Fascist Rick,1
Numbericon,1
Japheth's Middle Son,1
Morty’s Disguise,1
Cousin Nicky,1
Joseph Eli Lipkip,1
Tiny Rick,1
Shane,1
Quick Mystery Presenter,1
Roy's Wife,1
Pickle Rick,1
Johnny Carson,1
Slut Dragon,1
Alien Spa Employee,1
Diesel Weasel,1
Jacqueline,1
Leonard Smith,1
Ma-Sha,1
Mr. Beauregard,1
Morty’s Lawyer,1
Bartender,1
Hothead Rick,1
Glasses Morty,1
Dipper and Mabel Mortys,1
Tumblorkian,1
Mr. Cookie President,1
Crocubot,1
Tiny-persons advocacy group lawyer,1
Beth's Mytholog,1
Train Cops Instructor,1
Glexo Slim Slom,1
Hairdresser Rick,1
Toxic Morty,1
Flower Morty,1
Secret Service Snake,1
Squid Costume Morty,1
Galactic Federation President,1
Jerry's Mytholog,1
Joyce Smith,1
President Turkey,1
Bartender Morty,1
Steve Jobs Rick,1
Regular Legs,1
Pat Gueterman,1
Shaved Head Jerry,1
Public Opinion Judge,1
Investigator Rick,1
Baby Poopybutthole,1
Eli,1
Wicker Morty,1
Duck With Muscles,1
Morty’s Mother-in-law,1
Rick J-22,1
Heist-Con Receptionist,1
Snuffles,1
Pussifer,1
Cop Rick,1
Logic,1
Michael Jenkins,1
Glockenspiel Morty,1
Unity,1
Hepatitis C,1
Kristen Stewart,1
Gramuflackian Anchorman,1
Simple Rick,1
Blamph,1
Snake Arms,1
Keara,1
26 Years Old Morty,1
Nano Doctor,1
Melissa,1
Wasp Summer,1
Stu,1
Daron Jefferson,1
Lucy,1
Rick D. Sanchez III,1
Rick D716,1
Mary-Lou,1
Zick Zack,1
Veterinary,1
Funny Songs Presenter,1
Toxic Rick,1
Fascist Shrimp Rick,1
Big Fat rick,1
Mrs. Sullivan's Boyfriend,1
Andy,1
Self-Congratulatory Jerry,1
Gordon Lunas,1
Calypso,1
Daphne,1
Anchor Gear,1
Mohawk Guy,1
Sticky,1
Florflock,1
Tan Rick,1
Private Smith,1
Rick D716-C,1
Bova,1
Reverse Giraffe,1
Shmlamantha Shmlicelli,1
Angry Glorzo,1
Glockenspiel Summer,1
Maggie,1
Slow Rick,1
Yaarb,1
Squid Costume Summer,1
Risotto Groupon,1
Deliverance,1
Scary Terry,1
CHUD King,1
Josh's Sister,1
Octopus Man,1
Coach Feratu (Balik Alistane),1
Diablo Verde,1
Agency Director,1
Mr. Needful,1
Fascist Rick’s Clone,1
Insurance Rick,1
Bruce,1
Jackey,1
Tree Person,1
Kevin,1
Retired General Rick,1
Communication's Responsible Rick,1
Armagheadon,1
Dale,1
Shmlangela Shmlobinson-Shmlower,1
Randy Dicknose,1
Hole in the Wall Where the Men Can See it All,1
Traflorkian Journalist,1
Harold (Garbage Goober),1
Scary Glenn,1
Magma-Q,1
Jeff,1
When Wolf,1
Concerto,1
Danny Publitz,1
Slick Morty,1
Jerryboree Receptionist,1
Michael's Lawyer,1
Teleportation's Responsible Rick,1
Professor Shabooboo,1
Roy's Son,1
Josh,1
Supernova,1
Deformed Morty,1
Jerryboree Keeper,1
Pilgrim Alien,1
Presidentress of The Mega Gargantuans,1
Glockenspiel Jerry,1
Million Ants,1
Dancer Cowboy Morty,1
Shadow Jacker,1
Dr. Xenon Bloom,1
Darth Poopybutthole,1
Mr. Sneezy,1
Taint Washer,1
Scroopy Noopers,1
E. Coli,1
