name,status,species,gender,location,location_type,dimension,episode,air_date
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E01,"December 2, 2013"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E02,"December 9, 2013"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E03,"December 16, 2013"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E04,"January 13, 2014"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E05,"January 20, 2014"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E06,"January 27, 2014"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E07,"March 10, 2014"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E08,"March 17, 2014"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E09,"March 24, 2014"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E10,"April 7, 2014"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S01E11,"April 14, 2014"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E01,"July 26, 2015"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E02,"August 2, 2015"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E03,"August 9, 2015"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E04,"August 16, 2015"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E05,"August 23, 2015"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E06,"August 30, 2015"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E07,"September 13, 2015"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E08,"September 20, 2015"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E09,"September 27, 2015"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S02E10,"October 4, 2015"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E01,"April 1, 2017"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E02,"July 30, 2017"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E03,"August 6, 2017"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E04,"August 13, 2017"
Rick Sanchez,Alive,Human,Male,Citadel of Ricks,Space station,unknown,S03E05,"August 20, 2017"
